[2022-10-04 12:15:22] http-nio-8081-exec-1 ERROR c.c.s.c.PortafolioController                            >> Oops something happened. 
[2022-10-04 12:35:12] main INFO  o.s.c.c.c.ConfigServicePropertySourceLocator            >> Fetching config from server at : http://localhost:8888 
[2022-10-04 12:35:12] main INFO  o.s.c.c.c.ConfigServicePropertySourceLocator            >> Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available 
[2022-10-04 12:35:12] main WARN  o.s.c.c.c.ConfigServicePropertySourceLocator            >> Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/main-server/default": Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused) 
[2022-10-04 12:35:12] main INFO  c.c.s.Application                                       >> No active profile set, falling back to 1 default profile: "default" 
[2022-10-04 12:35:12] main INFO  o.s.d.r.c.RepositoryConfigurationDelegate               >> Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
[2022-10-04 12:35:13] main INFO  o.s.d.r.c.RepositoryConfigurationDelegate               >> Finished Spring Data repository scanning in 41 ms. Found 2 JPA repository interfaces. 
[2022-10-04 12:35:13] main INFO  o.s.c.c.s.GenericScope                                  >> BeanFactory id=50f9ec00-fa6b-3fa3-aab0-69faa5c91072 
[2022-10-04 12:35:13] main INFO  o.s.b.w.e.t.TomcatWebServer                             >> Tomcat initialized with port(s): 8081 (http) 
[2022-10-04 12:35:13] main INFO  o.a.c.h.Http11NioProtocol                               >> Initializing ProtocolHandler ["http-nio-8081"] 
[2022-10-04 12:35:13] main INFO  o.a.c.c.StandardService                                 >> Starting service [Tomcat] 
[2022-10-04 12:35:13] main INFO  o.a.c.c.StandardEngine                                  >> Starting Servlet engine: [Apache Tomcat/9.0.65] 
[2022-10-04 12:35:13] main INFO  o.a.c.c.C.[.[.[/]                                       >> Initializing Spring embedded WebApplicationContext 
[2022-10-04 12:35:13] main INFO  o.s.b.w.s.c.ServletWebServerApplicationContext          >> Root WebApplicationContext: initialization completed in 1439 ms 
[2022-10-04 12:35:13] main INFO  c.z.h.HikariDataSource                                  >> HikariPool-1 - Starting... 
[2022-10-04 12:35:14] main INFO  c.z.h.HikariDataSource                                  >> HikariPool-1 - Start completed. 
[2022-10-04 12:35:14] main INFO  o.s.b.a.h.H2ConsoleAutoConfiguration                    >> H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:coder-dev' 
[2022-10-04 12:35:14] main INFO  o.h.j.i.u.LogHelper                                     >> HHH000204: Processing PersistenceUnitInfo [name: default] 
[2022-10-04 12:35:14] main INFO  o.h.Version                                             >> HHH000412: Hibernate ORM core version 5.6.10.Final 
[2022-10-04 12:35:14] main INFO  o.h.a.c.Version                                         >> HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
[2022-10-04 12:35:14] main INFO  o.h.d.Dialect                                           >> HHH000400: Using dialect: org.hibernate.dialect.H2Dialect 
[2022-10-04 12:35:15] main INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                      >> HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
[2022-10-04 12:35:15] main INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean          >> Initialized JPA EntityManagerFactory for persistence unit 'default' 
[2022-10-04 12:35:15] main WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration    >> spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
[2022-10-04 12:35:16] main INFO  o.s.b.a.e.w.EndpointLinksResolver                       >> Exposing 1 endpoint(s) beneath base path '/actuator' 
[2022-10-04 12:35:16] main INFO  o.a.c.h.Http11NioProtocol                               >> Starting ProtocolHandler ["http-nio-8081"] 
[2022-10-04 12:35:16] main INFO  o.s.b.w.e.t.TomcatWebServer                             >> Tomcat started on port(s): 8081 (http) with context path '' 
